Čas;Přepsaný text;Extrahovaná data
2026-01-14 15:38:44;6? 6 a 3. 36, 3. A 8 na kloubku. OK. Tak jo. Ký alkohol nevíte, tak jo, nevíte.;
2026-01-14 15:38:52;Tak jo. I alkoholový, to taky jo necítíme. Mír. Tak to je moc mít.;
2026-01-14 15:39:00;Tak tady mám si... Tak na chvíli jsem sehala. Tak já chramečku. Můžeme pro ně ještě něco udělat? Máme zajištěný;
2026-01-14 15:39:08;Máme zajištěný dejta. Přeměřujeme plak.;
2026-01-14 15:39:16;Můžeme přeměřit tla?;
2026-01-14 15:39:24;Hele máme nějakou tu... ...tej komorový je. Takže bych měla asi...;
2026-01-14 15:39:32;Titulky vytvořil JohnyX.;
2026-01-14 15:39:40;Děkuji vaše jednostka. Já mám to stáhnout dole. Přeji hlasově, co bych dělala. Dáváme go.;
2026-01-14 15:39:49;Tak, snímáme. Tohleto je komorovka, takže... Můžeme. Že dotýkáte si nikdo?;
2026-01-14 15:39:57;že dotýkáte se nikdo, tak podáváme výboj.;
2026-01-14 15:40:05;Tak jo, a začínáme mačkat, takže mám. Tak máš, Eli, ten.;
2026-01-14 15:40:13;Tak máš eletén, vytáhneš dvě pěti.;
2026-01-14 15:40:21;Děkujeme.;
2026-01-14 15:40:29;Děkujeme.;
2026-01-14 15:40:37;;
2026-01-14 15:40:45;Titulky vytvořil JohnyX.;
2026-01-14 15:40:54;Titulky vytvořil JohnyX.;
2026-01-14 15:41:02;Ale jde pro slib. Tak jenom koučky.;
2026-01-14 15:41:10;Pojďši kej. Taky mám začkat, ne?;
2026-01-14 15:41:18;Tak jehož ještě každá. Tři, dva, tři, tři, tři, tři, tři, tři.;
2026-01-14 15:41:26;Tak to, šájte, když navíc ten adrenér.;
2026-01-14 15:41:34;...;
2026-01-14 15:41:43;ty jo nakonec to p charismatico;
2026-01-14 15:41:50;Já si myslím, že ten je až potom. A nemáš ještě zkusit ten defeat? Jo.;
2026-01-14 15:41:59;Tak já udělám ještě jednu, já nevím, kolik mám, já jsem se podmínila koukat na hodiny, ale tak zkusili bychom ty defi.;
2026-01-14 15:42:07;On týde vý.;
2026-01-14 15:42:15;Takže budu však připraveny na zájmení. Váleží mě, jestli můžu.;
2026-01-14 15:42:23;Takže zkusíme znovu defík. Takže dáváme gel, nabídíme.;
2026-01-14 15:42:31;Podali jsme Lýbovi.;
2026-01-14 15:42:39;...;
2026-01-14 15:42:47;Jo, dobře. Můžeme ještě jednotlivým vajbem, kterým dáme nějakou takovou stranu. Já bych to potřebovala.;
2026-01-14 15:42:56;Já vím, že po třech lípoch se dává ten adrenér. Já vím, že mám ten adrenér. S námi mám třech kucučík do špivu. Špiváka.;
2026-01-14 15:43:04;Štupadáváme do výjezdky do výhoře.;
2026-01-14 15:43:12;Nějakým dalekýmdem .. Jestli Mỹ imbičkawe imagí krpoucí uk� יי;
2026-01-14 15:43:20;Grandaurus H dictatorship. Prosí nám, kdo má objed fearsi Silvermane stones?;
2026-01-14 15:43:28;Moถ ankou reflectsorch Im nějak ability;
2026-01-14 15:43:36;Ne, tak je to třistá. Tak ještě jednou, pak musíme ještě jednou vytnout.;
2026-01-14 15:43:44;A potom se... co? Máš to potom? Že dáme početníků.;
2026-01-14 15:43:52;...;
2026-01-14 15:44:00;Zkusíme ještě jednou.;
2026-01-14 15:44:09;nabídíme, nikdo se nedotýkáme a dáváme výboj.;
2026-01-14 15:44:17;Titulky vytvořil JohnyX.;
2026-01-14 15:44:25;...;
2026-01-14 15:44:33;No ale to dává ještě jedno. No ale to dává ten adrenál. Ten adrenál se pokračuje pořád. No ale to je jedno.;
2026-01-14 15:44:41;...;
2026-01-14 15:44:49;Myslím, že tady je předsedka, která má hodnotu.;
2026-01-14 15:44:58;fireworks;
2026-01-14 15:45:05;Titulky vytvořil JohnyX.;
2026-01-14 15:45:14;Titulky vytvořil JohnyX.;
2026-01-14 15:45:22;Titulky vytvořil JohnyX.;
2026-01-14 15:45:30;Titulky vytvořil JohnyX.;
2026-01-14 15:45:39;Jsi mi PE incremental. Dneska se tady něco abys měit. Tak to je to.. Si myslíš. Tady je konec.;
2026-01-14 15:45:46;Nadejche. Nadejche. Tak nadejche. Tak nadejche. Tak nadejche.;
2026-01-14 15:45:54;Jo. Ty vole, ještě nezapadá. Nezapadá.;
2026-01-14 15:46:03;Pane, slyšíte nás? Pane? Ne, já to nic, tak zkušíme to.;
2026-01-14 15:46:11;Tak zase někdy způsobíme to.;
2026-01-14 15:46:19;No a já bych se měli květně zlejela, no. Uvíme, co ten dla, když budu to dál.;
2026-01-14 15:46:27;No, jsem nízký. No tak zkusím mu dát ještě... Chceš mu dát nor? Nedávám tady nor, ale já bych mu dal spíš ještě nějakej...;{'polozky': {'Noradrenalin': ''}}
2026-01-14 15:46:35;Já bych mu dala spíš ještě nějakou takovou, no ještě víc, nějaký bolus. Já bych prostě udělala takový to, jak to tím přetlakem naroješ do vnitř. Jo, přetlakovou manželou.;
2026-01-14 15:46:43;Manžetu, myslíte? No no, se to dá, že to jenom zmáčkáš a prostě se tam za toho hledáš podle mě. Že jako nepotřebuješ. Tak jo, tak tohle pak jdeme.;
2026-01-14 15:46:51;Tak tohle pak jedeme. Dobře. Tady je Fida. Takhle tam před takovým momentem to...;
2026-01-14 15:46:59;před takovou hodinou to... A to jsi dala? No, v studio. Tak já jsem taky mravila,;
2026-01-14 15:47:08;A že to tam může říkat i kvěma přístupama, když je to hodně málo.;
2026-01-14 15:47:15;Zkusíme přeměřit ten tlak, jestli by vám pomohlo. Zkouším teda slovofurní skoro saturní.;
2026-01-14 15:47:24;Začněte na svamofilní skotu saturací. A kolik máme kyslí? 10. 10. Zkusíme 12 litrů kyslí. Možná to teoreticky můžeme;{'polozky': {'SpO2': '10', 'Oxygenoterapie': '12 l'}}
2026-01-14 15:47:32;Možná to teoreticky můžeme úplně voholit, můžeme dál u něj maximálně, že to nemusí mít to zvlaky těžší. Já to necháku.;
2026-01-14 15:47:40;Já to na chvilku. On je i pomalej prostě. Takhle dělat nic nebo...;
2026-01-14 15:47:48;Tak hvězdně cítím trochu alkohol, bych mohl si dát nějakou trochu nebo něco. To nevím, jestli řešíme.;
2026-01-14 15:47:56;No to nevím, jestli tady křešíme, takže živou máme, můžeme ještě něco jiného. Jako je divný, že na to, že má nízký tlak, má i brady kardy.;{'polozky': {'Krevní tlak': 'nízký', 'Srdeční frekvence': 'nízká'}}
2026-01-14 15:48:04;A pak má i brady kardii. No to je divný, že je pomalé a nízko. A ani samomet nechce dechat. Když úplně na maximum dáme kyslí saturace,;{'polozky': {'Srdeční frekvence': 'Bradykardie', 'Dechová frekvence': 'Žádná'}}
2026-01-14 15:48:13;...;
2026-01-14 15:48:21;Obě plíce dýchají symetricky. Dýchají, takže ten zepk nemá. Co můžeme mít ještě? 4H4T?;{'polozky': {'Symetrie dýchání': 'Symetrické'}}
2026-01-14 15:48:29;Tenzak, hypotermie a kalémie, to teď nezjistíme. Tamponádu. Tamponádu, je asi nejpravdopodobnější.;
2026-01-14 15:48:37;To je asi nejpravděpodobně. Podle mě to má nějakou intoxikaci. To budou toxíny. Ale už má aspoň dechově. Tak já bych ho teď...;{'polozky': {'Nynější onemocnění (NO)': 'Intoxikace', 'Průchodnost dýchacích cest': 'Ano'}}
2026-01-14 15:48:42;Tak já bych ho teď převazla. No taky, tak bych to všude jistě převznal.;
